ExerciseID,ExerciseName,MovementPattern,PrimaryMuscle,SecondaryMuscles,DefaultEquipmentID,Laterality,ExerciseCategory,IsTimeBased,IsDistanceBased,PreferredReplacements,ShoulderSafetyNotes,Notes
EX-PF,Pec Fly,Push,Chest,Anterior Delts,EQ-MCH,Bilateral,Isolation,False,False,EX-CSF,Right sensitive with quick movement,Machine pec fly  
EX-HCTP,High Cable Tricep Pushdown,Isolation,Triceps,Forearms,EQ-CAB,Bilateral,Isolation,False,False,,Shoulders roll forward if ROM too high; keep 90-100 degree ROM,High cable tricep pushdown with straight bar  
EX-RPD,Rope Push-Downs,Isolation,Triceps,Forearms,EQ-CAB,Bilateral,Isolation,False,False,EX-HCTP,Well tolerated,Rope attachment pushdown  
EX-SAOCE,Single-Arm Overhead Cable Extension,Isolation,Triceps,None,EQ-CAB,Unilateral,Isolation,False,False,,Feels good on anterior capsule; seems to loosen it,Single arm overhead cable extension  
EX-SACE,Single Arm Cable Extensions,Isolation,Triceps,None,EQ-CAB,Unilateral,Isolation,False,False,EX-SAOCE,Well tolerated,General single arm cable extension  
EX-CTE-Q,Cable Triceps Extension - Quad,Isolation,Triceps,None,EQ-CAB,Unilateral,Isolation,False,False,,Well tolerated; significant left-right asymmetry noted,Four-position cable tricep extension  
EX-KSARCE,Kneeling Single Arm Rope Cable Extension,Isolation,Triceps,None,EQ-CAB,Unilateral,Isolation,False,False,EX-SAOCE,Well tolerated,Kneeling single arm rope extension  
EX-SASED,Standing Single Arm Extension (D-Grip),Isolation,Triceps,None,EQ-CAB,Unilateral,Isolation,False,False,EX-SACE,Well tolerated,D-grip single arm cable extension  
EX-SACTE-CB,Single-Arm Cable Triceps Extension (Cross-Body),Isolation,Triceps,None,EQ-CAB,Unilateral,Isolation,False,False,EX-SACE,Well tolerated,Cross body cable tricep extension  
EX-CPD,Cable Push-Downs,Isolation,Triceps,None,EQ-CAB,Bilateral,Isolation,False,False,EX-RPD,Well tolerated,General cable pushdown  
EX-CKOE,Cable: Kneeling 1Arm Overhead Extension,Isolation,Triceps,None,EQ-CAB,Unilateral,Isolation,False,False,EX-SAOCE,Well tolerated,Kneeling overhead cable extension  
EX-IKBP,Inverted KB Press,Push,Chest,Triceps; Stabilizers,EQ-KB,Bilateral,Compound,False,False,,Well tolerated,Floor press with inverted kettlebell  
EX-DBRDL,Dumbbell Romanian Deadlift,Hinge,Hamstrings,Glutes; Lower Back; Forearms,EQ-DB,Bilateral,Compound,False,False,,Well tolerated; grip limiting factor at heavy weights,Primary hinge movement  
EX-BSS,Bulgarian Split Squat,Squat,Quads,Glutes; Hamstrings; Core,EQ-DB,Unilateral,Compound,False,False,,Well tolerated,Rear foot elevated split squat  
EX-SMSSQ,Smith Machine Split Squat (rear foot elevated optional),Squat,Quads,Glutes; Hamstrings; Core,EQ-SM,Unilateral,Compound,False,False,EX-BSS,Well tolerated,Smith machine split squat  
EX-GS,Goblet Squat,Squat,Quads,Glutes; Core; Hamstrings,EQ-DB,Bilateral,Compound,False,False,,Well tolerated,Dumbbell or kettlebell goblet squat  
EX-PS,Prisoners Squat,Squat,Quads,Glutes; Core,EQ-BW,Bilateral,Warmup,False,False,,Well tolerated,Bodyweight squat with hands behind head  
EX-WL,Walking Lunges,Squat,Quads,Glutes; Hamstrings; Calves,EQ-DB,Alternating,Compound,False,False,,Well tolerated,Walking lunge with dumbbells or kettlebell  
EX-RL,Reverse Lunge,Squat,Quads,Glutes; Hamstrings,EQ-BW,Alternating,Compound,False,False,EX-WL,Well tolerated,Reverse stepping lunge  
EX-FFESR,Front-Foot-Elevated Split Squat,Squat,Quads,Glutes; Hamstrings; Core,EQ-DB,Unilateral,Compound,False,False,EX-BSS,Well tolerated,Front foot on plates for increased ROM  
EX-SCR,Standing Calf Raise,Isolation,Calves,None,EQ-SM,Bilateral,Isolation,False,False,,Well tolerated,Smith machine or barbell calf raise  
EX-BSCR,Barbell Standing Calf Raise,Isolation,Calves,None,EQ-BB,Bilateral,Isolation,False,False,EX-SCR,Well tolerated,Barbell calf raise on plates  
EX-SECR,Seated Calf Raise,Isolation,Calves,None,EQ-MCH,Bilateral,Isolation,False,False,EX-SCR,Well tolerated,Seated calf raise machine  
EX-CEM,Calf Extension (Machine),Isolation,Calves,None,EQ-MCH,Bilateral,Isolation,False,False,EX-SCR,Well tolerated,Calf extension on leg press or machine  
EX-GE,Glute Extension,Isolation,Glutes,Hamstrings,EQ-MCH,Unilateral,Isolation,False,False,,Well tolerated,Machine glute extension  
EX-DLR,Dumbbell Lateral Raise,Isolation,Lateral Delts,Traps,EQ-DB,Bilateral,Isolation,False,False,,Slight right anterior capsule awareness at top; better with slight pronation,Dumbbell lateral raise  
EX-CLR,Cable Lateral Raise (using elbow strap setup),Isolation,Lateral Delts,Traps,EQ-CAB,Unilateral,Isolation,False,False,EX-DLR,Well tolerated with elbow strap,Cable lateral raise using strap at elbow  
EX-SNGDBOP,Seated Neutral Grip DB Overhead Press,Push,Shoulders,Triceps; Upper Chest,EQ-DB,Bilateral,Compound,False,False,,Subtle anterior capsule awareness on descending; tolerance improving,Seated dumbbell overhead press with neutral grip  
EX-HKSADBP,Half-Kneeling Single-Arm DB Press,Push,Shoulders,Triceps; Core,EQ-DB,Unilateral,Compound,False,False,,Well tolerated,Half-kneeling single arm overhead press  
EX-PP,Pallof Press,Core,Core,Obliques,EQ-CAB,Bilateral,Core,False,False,,Well tolerated; left side requires more anti-rotation effort,Anti-rotation cable press  
EX-SP,Side Plank,Core,Obliques,Core; Shoulders,EQ-BW,Unilateral,Core,True,False,,Right shoulder feels looser than left on elbow; palm better tolerated,Isometric lateral core stability  
EX-DH,Dead Hang,Hold,Forearms,Lats; Shoulders,EQ-BW,Bilateral,Hold,True,False,,Good scapular reset,Passive hang from pull-up bar  
EX-PPC,Plate Pinch,Hold,Forearms,Fingers,EQ-PLT,Bilateral,Hold,True,False,,Well tolerated,Pinch grip hold with weight plates  
EX-CKR,Captains Chair Knee Raises,Core,Core,Hip Flexors,EQ-MCH,Bilateral,Core,False,False,,Little tightness in right shoulder cap,Hanging knee raise on captain's chair  
EX-HKR,Hanging Knee Raises,Core,Core,Hip Flexors; Forearms,EQ-BW,Bilateral,Core,False,False,EX-CKR,Well tolerated,Hanging knee raise from pull-up bar  
EX-TF,Tibia Flex,Isolation,Tibialis Anterior,None,EQ-PLT,Bilateral,Isolation,False,False,,Well tolerated,Plate on toe tibialis anterior flexion  
EX-ROW,Rowing,Cardio,Full Body,Legs; Back; Arms,EQ-C2,Bilateral,Cardio,True,True,,Well tolerated,Concept2 or similar rowing ergometer  
EX-TW,Treadmill Walking,Cardio,Full Body,Legs; Core,EQ-TM,Bilateral,Cardio,True,True,,Well tolerated,Treadmill walking at various inclines  
EX-CYC,Cycling,Cardio,Legs,Core,EQ-BIKE,Bilateral,Cardio,True,True,,Well tolerated,Stationary cycling  
EX-ER,Endless Rope,Cardio,Forearms,Back; Shoulders; Biceps,EQ-ER,Bilateral,Cardio,True,False,,Slight anterior capsule trigger on right at initial reach,Marpo Kinetics or similar endless rope machine  
EX-PU,Push-up,Push,Chest,Triceps; Anterior Delts; Core,EQ-BW,Bilateral,Compound,False,False,,Little anterior right tightness on lowering,Full push-up from toes  
EX-PUK,Push-up On Knees,Push,Chest,Triceps; Anterior Delts; Core,EQ-BW,Bilateral,Compound,False,False,EX-PU,Well tolerated,Modified push-up from knees  
EX-IPU,Incline Push-up,Push,Chest,Triceps; Anterior Delts; Core,EQ-BW,Bilateral,Compound,False,False,EX-PU,Well tolerated,Push-up with hands elevated on bar or bench  
EX-SPU,Scap Push Ups,Mobility,Serratus Anterior,Shoulders,EQ-BW,Bilateral,Warmup,False,False,,Well tolerated,Scapular protraction/retraction from push-up position  
EX-BPA,Band Pull Aparts,Mobility,Rear Delts,Rhomboids; Traps,EQ-BAND,Bilateral,Warmup,False,False,,Well tolerated,Band pull apart for shoulder warmup  
EX-BER,Band External Rotations,Mobility,External Rotators,Rotator Cuff,EQ-BAND,Bilateral,Warmup,False,False,,Well tolerated,Banded external rotation warmup  
EX-SWS,Serratus Wall Slides (banded),Mobility,Serratus Anterior,Shoulders; Traps,EQ-BAND,Bilateral,Warmup,False,False,,Well tolerated,Wall slide with band around wrists  
EX-CC,Cat-Camel,Mobility,Spine,Core,EQ-BW,Bilateral,Warmup,False,False,,Well tolerated,Spinal flexion/extension mobilization  
EX-CER,Cable External Rotation,Mobility,External Rotators,Rotator Cuff,EQ-CAB,Unilateral,Warmup,False,False,EX-BER,Left has less ROM than right,Cable external rotation  
EX-IKBH,Inverted KB Hold,Mobility,Shoulders,Forearms; Stabilizers,EQ-KB,Bilateral,Rehab,True,False,,Well tolerated,Inverted kettlebell hold for shoulder stability  
EX-VDBSE,Vertical DB Scap extension,Mobility,Serratus Anterior,Shoulders,EQ-DB,Bilateral,Rehab,False,False,,Well tolerated,Vertical dumbbell or plate scapular extension  
EX-HH,Hip Hinge,Mobility,Hamstrings,Glutes; Lower Back,EQ-BW,Bilateral,Warmup,False,False,,Well tolerated,Bodyweight hip hinge pattern warmup  
EX-CPT,Cable Pull-Through,Hinge,Glutes,Hamstrings; Lower Back,EQ-CAB,Bilateral,Compound,False,False,,Well tolerated,Cable pull-through for hip extension  
EX-HKSACP,Half-Kneeling Single-Arm Cable Pulldown,Pull,Lats,Biceps; Forearms,EQ-CAB,Unilateral,Compound,False,False,EX-SANGCP,Well tolerated,Half-kneeling single arm cable pulldown  
