SectionName,SectionOrder,ExerciseName,MuscleGroup,MovementPattern,Category,EquipmentType,IsUnilateral,IsTimed,ID,PrimaryDetail,SecondaryDetail,Laterality,ShoulderSafetyNotes,Notes,OriginalName,StandardName
Equipment,,"Plate	Free",,,"Weight	Various	Multiple	Used",,,,"EQ-PLT	Weight",for,plate,,,"pinch,",,
Equipment,,Rope,,,"Machine	Cardio	Various	Planet",,,,"EQ-ER	Endless","Fitness	Marpo",Kinetics,,,or,,
Equipment,,"Rower	Cardio	Concept2	Multiple	Rowing",,,ergometer,,,,"EQ-C2	Concept2",,,,,,,
Equipment,,"Weight	Various	Multiple	Standard",,,hex,,,,"EQ-DB	Dumbbells	Free",or,iron,,,grip,,
Equipment,,"Weight	Various	Multiple	Standard",,,kettlebell,,,,"EQ-KB	Kettlebell	Free",,,,,,,
Equipment,,"Weight	Various	Multiple	Standard",,,Olympic,,,,"EQ-BB	Barbell	Free",barbell,,,,,,
Equipment,,external,,,load,,,,"EQ-BW	Bodyweight	Bodyweight	N/A	N/A	No",,,,,,,
Equipment,,treadmill,,,,,,,"EQ-TM	Treadmill	Cardio	Various	Multiple	Standard",,,,,,,
Lookup_Exercises,1,Alternate Seated DB Curl,,Curl,Arms_Biceps,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Anchored Single Arm Dumbbell Curl,,Curl,Arms_Biceps,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Band External Rotations,,Activation,Warmup,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Band Pull Aparts,,Activation,Warmup,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Barbell Standing Calf Raise,,Calf,Legs,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Body Row,Back;Chest;Neck;Waist,Pull,Pull,Barbell,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Bulgarian Split Squat,,Squat/Lunge,Legs,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Cable Chest Press (2 Arm),Chest,Horizontal Press,Push,Bench;Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Cable External Rotation,,Activation,Warmup,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Cable Fly (Standing),,Fly,Push,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Cable High To Mid Fly,,Fly,Push,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Cable Lateral Raise (using elbow strap setup),,Lateral Raise,Push,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Cable Pull-Through,Back;Thighs,Hip Hinge,Legs,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Cable Push-Downs,Upper Arms,Extension,Arms_Triceps,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,"Cable Triceps Extension - ""Quad""",Upper Arms,Extension,Arms_Triceps,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Calf Extension (Machine),Other,Calf,Legs,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Captains Chair Knee Raises,Other,Core,Core,Other,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Cat-Camel,,Activation,Warmup,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Chest Supported DB Row (Spider),Back,Pull,Pull,Dumbbells,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Chest Supported Rear Delt Fly,Back,Pull,Pull,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Cross Body Cable Curl,,Curl,Arms_Biceps,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Cycling,,Cardio,Cardio,,FALSE,TRUE,,,,,,,,
Lookup_Exercises,1,DB Cross Body Curl (Hammer Grip),Other,Curl,Arms_Biceps,Bodyweight,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,DB Neutral Press (slight Rotate To Underhand ),Chest,Horizontal Press,Push,Dumbbells,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,DB Spider Curl (Hammer),Upper Arms,Curl,Arms_Biceps,Dumbbells,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Dead Hang,Other,Hang,Carry,Bodyweight,FALSE,TRUE,,,,,,,,
Lookup_Exercises,1,Dumbbell Lateral Raise,,Lateral Raise,Push,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Dumbbell Romanian Deadlift,,Hip Hinge,Legs,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Dumbbell: Squeeze Curl - Neutral,Upper Arms,Curl,Arms_Biceps,Dumbbells,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Endless Rope,,Cardio,Cardio,,FALSE,TRUE,,,,,,,,
Lookup_Exercises,1,Face Pull,Other,Pull,Pull,Bodyweight,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Face Pull (w External Rotation),,Pull,Pull,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Farmer's Walk,Other,Carry,Carry,Dumbbells,FALSE,TRUE,,,,,,,,
Lookup_Exercises,1,Farmer’s Hold,Other,Carry,Carry,Bodyweight,FALSE,TRUE,,,,,,,,
Lookup_Exercises,1,Front-Foot-Elevated Split Squat,Calves;Hips;Thighs,Squat/Lunge,Legs,Dumbbells,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Glute Extension,Hips;Other,Hip Extension,Legs,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Goblet Squat,,Squat/Lunge,Legs,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Half-Kneeling Single Arm Cable Row,,Pull,Pull,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Half-Kneeling Single-Arm Cable Pulldown,Back,Pull,Pull,Machine,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,"Half-Kneeling Single-Arm Cable Row, Low-to-High Finish",,Pull,Pull,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Half-Kneeling Single-Arm DB Press,Shoulders,Other,Other,Dumbbells,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Hammer Curls with Rope and Cable,,Curl,Arms_Biceps,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Hanging Knee Raises,Other,Core,Core,Other,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,High Cable Tricep Pushdown,,Extension,Arms_Triceps,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Hip Hinge,,Activation,Warmup,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Incline DB Hammer Curl,Upper Arms,Curl,Arms_Biceps,Dumbbells,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Incline Dumbbell Curl (Supinated),Upper Arms,Curl,Arms_Biceps,Dumbbells;Bench,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Incline Push-up,,Horizontal Press,Push,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Inverted KB Hold,,Stability,Warmup,,FALSE,TRUE,,,,,,,,
Lookup_Exercises,1,Inverted KB Press,Other,Stability,Warmup,Dumbbells,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Kneeling Cable Row,Back,Pull,Pull,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Kneeling Single Arm Rope Cable Extension,,Extension,Arms_Triceps,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Low-Incline DB Press (15–30°),,Horizontal Press,Push,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Machine Chest Press,,Horizontal Press,Push,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Machine Row,Other,Pull,Pull,Bodyweight,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Neutral Grip Dumbbell Floor Press,,Horizontal Press,Push,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Neutral Grip Seated 2 Arm Row,Back,Pull,Pull,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Pallof Press,Other,Core,Core,Bodyweight,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Pec Fly,,Fly,Push,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Plate Loaded Seated Row,Back,Pull,Pull,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Plate Pinch,,Pinch,Carry,,FALSE,TRUE,,,,,,,,
Lookup_Exercises,1,Prisoners Squat,,Squat/Lunge,Legs,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Push-up,Chest,Horizontal Press,Push,Bodyweight,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Push-up On Knees,Chest,Horizontal Press,Push,Bodyweight,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Rear Delt Cable Fly,,Pull,Pull,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Reverse Lunge,Hips;Thighs,Squat/Lunge,Legs,Other,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Rope Push-Downs,Upper Arms,Extension,Arms_Triceps,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Rowing,Cardio,Pull,Pull,Bodyweight,FALSE,TRUE,,,,,,,,
Lookup_Exercises,1,Scap Push Ups,Other;Shoulders,Horizontal Press,Push,Bodyweight,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Seat Cable Row (V / Narrow Neutral Grip),,Pull,Pull,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Seated Calf Raise,Calves,Calf,Legs,Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Seated Neutral Grip DB Overhead Press,,Horizontal Press,Push,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Seated Single Arm DB Curl - Anchored,Upper Arms,Curl,Arms_Biceps,Dumbbells,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Serratus Wall Slides (banded),,Activation,Warmup,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Side Plank,,Core,Core,,FALSE,TRUE,,,,,,,,
Lookup_Exercises,1,Single Arm Cable Extensions,Upper Arms,Extension,Arms_Triceps,Machine,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Single Arm Cable Press,,Horizontal Press,Push,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Single Arm Cable Press (split stance),,Horizontal Press,Push,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Single Arm Rope Curl (extended Arm Position ),,Curl,Arms_Biceps,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Single-Arm Cable Row (Split Stance),Back,Pull,Pull,Machine,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Single-Arm Cable Triceps Extension (Cross-Body),Upper Arms,Extension,Arms_Triceps,Machine,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Single-Arm DB Balance Press,Chest,Horizontal Press,Push,Dumbbells,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Single-Arm Neutral Grip Cable Pulldown,Back,Pull,Pull,Bodyweight,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Single-Arm Overhead Cable Extension,,Extension,Arms_Triceps,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Single-Arm Vertical Plate Balance Press,Chest,Horizontal Press,Push,Dumbbells;Other,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Smith Machine Bench Press,Chest;Shoulders;Upper Arms,Horizontal Press,Push,Bench;Machine,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Smith Machine Split Squat (rear foot elevated optional),,Squat/Lunge,Legs,,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Standing Calf Raise,,Calf,Legs,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Standing One Arm Bicep Curl with Cable (Anchored),Forearms;Upper Arms,Curl,Arms_Biceps,Machine,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Standing One Arm Extended Cable Curls,Upper Arms,Curl,Arms_Biceps,Machine,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Standing Single Arm Cable Curl,Upper Arms,Curl,Arms_Biceps,Machine,TRUE,FALSE,,,,,,,,
Lookup_Exercises,1,Suitcase Carries,Other,Carry,Carry,Dumbbells,TRUE,TRUE,,,,,,,,
Lookup_Exercises,1,Suitcase Holds,Other,Carry,Carry,Dumbbells,TRUE,TRUE,,,,,,,,
Lookup_Exercises,1,Supine Press Machine - Plate Loaded (Planet Fitness),Chest,Horizontal Press,Push,Machine;Other,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Tibia Flex,,Calf,Legs,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Treadmill Walking,Cardio,Cardio,Cardio,Machine,FALSE,TRUE,,,,,,,,
Lookup_Exercises,1,Vertical DB Scap extension,,Extension,Arms_Triceps,,FALSE,FALSE,,,,,,,,
Lookup_Exercises,1,Walking Lunges,,Squat/Lunge,Legs,,TRUE,FALSE,,,,,,,,
ExerciseLibrary,2,1 Arm Cable Curl,,Isolation,Isolation,,,,EX-1ACC,Biceps,Forearms,Unilateral,Well tolerated,Single arm cable curl  ,,
ExerciseLibrary,2,Alternate Seated DB Curl,,Isolation,Isolation,,,,EX-ASDBC,Biceps,Forearms; Brachialis,Alternating,Well tolerated,Alternating seated dumbbell curl with supination  ,,
ExerciseLibrary,2,Anchored Single Arm Dumbbell Curl,,Isolation,Isolation,,,,EX-ADBC,Biceps,Forearms; Brachialis,Unilateral,Well tolerated,Standing or seated anchored curl  ,,
ExerciseLibrary,2,Band External Rotations,,Mobility,Warmup,,,,EX-BER,External Rotators,Rotator Cuff,Bilateral,Well tolerated,Banded external rotation warmup  ,,
ExerciseLibrary,2,Band Pull Aparts,,Mobility,Warmup,,,,EX-BPA,Rear Delts,Rhomboids; Traps,Bilateral,Well tolerated,Band pull apart for shoulder warmup  ,,
ExerciseLibrary,2,Barbell Standing Calf Raise,,Isolation,Isolation,,,,EX-BSCR,Calves,None,Bilateral,Well tolerated,Barbell calf raise on plates  ,,
ExerciseLibrary,2,Body Row,,Pull,Compound,,,,EX-BR,Back,Biceps; Forearms; Core,Bilateral,Well tolerated,Inverted row using barbell in rack  ,,
ExerciseLibrary,2,Bulgarian Split Squat,,Squat,Compound,,,,EX-BSS,Quads,Glutes; Hamstrings; Core,Unilateral,Well tolerated,Rear foot elevated split squat  ,,
ExerciseLibrary,2,Cable External Rotation,,Mobility,Warmup,,,,EX-CER,External Rotators,Rotator Cuff,Unilateral,Left has less ROM than right,Cable external rotation  ,,
ExerciseLibrary,2,Cable Fly (Standing),,Push,Isolation,,,,EX-CSF,Chest,Anterior Delts,Bilateral,Well tolerated with cuff attachment,Standing cable fly  ,,
ExerciseLibrary,2,Cable High To Mid Fly,,Push,Isolation,,,,EX-CHMF,Chest,Anterior Delts,Bilateral,Right tightness at full extension; slightly shorten ROM,High to mid cable fly  ,,
ExerciseLibrary,2,Cable Lateral Raise (using elbow strap setup),,Isolation,Isolation,,,,EX-CLR,Lateral Delts,Traps,Unilateral,Well tolerated with elbow strap,Cable lateral raise using strap at elbow  ,,
ExerciseLibrary,2,Cable Pull-Through,,Hinge,Compound,,,,EX-CPT,Glutes,Hamstrings; Lower Back,Bilateral,Well tolerated,Cable pull-through for hip extension  ,,
ExerciseLibrary,2,Cable Push-Downs,,Isolation,Isolation,,,,EX-CPD,Triceps,None,Bilateral,Well tolerated,General cable pushdown  ,,
ExerciseLibrary,2,Cable Triceps Extension - Quad,,Isolation,Isolation,,,,EX-CTE-Q,Triceps,None,Unilateral,Well tolerated; significant left-right asymmetry noted,Four-position cable tricep extension  ,,
ExerciseLibrary,2,Cable: Kneeling 1Arm Overhead Extension,,Isolation,Isolation,,,,EX-CKOE,Triceps,None,Unilateral,Well tolerated,Kneeling overhead cable extension  ,,
ExerciseLibrary,2,Calf Extension (Machine),,Isolation,Isolation,,,,EX-CEM,Calves,None,Bilateral,Well tolerated,Calf extension on leg press or machine  ,,
ExerciseLibrary,2,Captains Chair Knee Raises,,Core,Core,,,,EX-CKR,Core,Hip Flexors,Bilateral,Little tightness in right shoulder cap,Hanging knee raise on captain's chair  ,,
ExerciseLibrary,2,Cat-Camel,,Mobility,Warmup,,,,EX-CC,Spine,Core,Bilateral,Well tolerated,Spinal flexion/extension mobilization  ,,
ExerciseLibrary,2,Chest Supported DB Row (Spider),,Pull,Compound,,,,EX-CSDR,Back,Biceps; Rear Delts; Forearms,Bilateral,Well tolerated,Incline bench chest-supported dumbbell row  ,,
ExerciseLibrary,2,Chest Supported Rear Delt Fly,,Pull,Isolation,,,,EX-CSRDF,Rear Delts,Rhomboids; Traps,Bilateral,Well tolerated,Incline bench chest-supported rear delt fly  ,,
ExerciseLibrary,2,Cross Body Cable Curl,,Isolation,Isolation,,,,EX-CBCC,Biceps,Brachialis; Forearms,Unilateral,Well tolerated,Cross-body cable curl  ,,
ExerciseLibrary,2,Cycling,,Cardio,Cardio,,,,EX-CYC,Legs,Core,Bilateral,Well tolerated,Stationary cycling  ,,
ExerciseLibrary,2,DB Cross Body Curl (Hammer Grip),,Isolation,Isolation,,,,EX-DBCBH,Brachialis,Biceps; Forearms,Unilateral,Well tolerated,Cross body hammer curl with dumbbell  ,,
ExerciseLibrary,2,DB Neutral Press (slight Rotate To Underhand),,Push,Compound,,,,EX-DBNP,Chest,Triceps; Anterior Delts,Bilateral,Neutral grip well tolerated,Floor press or bench press with neutral grip and slight underhand rotation  ,,
ExerciseLibrary,2,DB Spider Curl (Hammer),,Isolation,Isolation,,,,EX-DSCH,Brachialis,Biceps; Forearms,Bilateral,Well tolerated,Spider curl on incline bench with hammer grip  ,,
ExerciseLibrary,2,Dead Hang,,Hold,Hold,,,,EX-DH,Forearms,Lats; Shoulders,Bilateral,Good scapular reset,Passive hang from pull-up bar  ,,
ExerciseLibrary,2,Dumbbell Incline Curl,,Isolation,Isolation,,,,EX-DBC,Biceps,Forearms,Bilateral,Well tolerated,Incline dumbbell curl variant  ,,
ExerciseLibrary,2,Dumbbell Lateral Raise,,Isolation,Isolation,,,,EX-DLR,Lateral Delts,Traps,Bilateral,Slight right anterior capsule awareness at top; better with slight pronation,Dumbbell lateral raise  ,,
ExerciseLibrary,2,Dumbbell Romanian Deadlift,,Hinge,Compound,,,,EX-DBRDL,Hamstrings,Glutes; Lower Back; Forearms,Bilateral,Well tolerated; grip limiting factor at heavy weights,Primary hinge movement  ,,
ExerciseLibrary,2,Dumbbell: Squeeze Curl - Hammer,,Isolation,Isolation,,,,EX-DSCH2,Brachialis,Biceps; Forearms,Bilateral,Well tolerated,Hammer grip squeeze curl  ,,
ExerciseLibrary,2,Dumbbell: Squeeze Curl - Neutral,,Isolation,Isolation,,,,EX-DBSCN,Biceps,Brachialis; Forearms,Bilateral,Well tolerated,Dumbbell squeeze curl variations  ,,
ExerciseLibrary,2,Endless Rope,,Cardio,Cardio,,,,EX-ER,Forearms,Back; Shoulders; Biceps,Bilateral,Slight anterior capsule trigger on right at initial reach,Marpo Kinetics or similar endless rope machine  ,,
ExerciseLibrary,2,Face Pull,,Pull,Isolation,,,,EX-FP,Rear Delts,Traps; Rhomboids; External Rotators,Bilateral,Well tolerated,Standard face pull with rope  ,,
ExerciseLibrary,2,Face Pull (w External Rotation),,Pull,Isolation,,,,EX-FPWR,Rear Delts,External Rotators; Traps; Rhomboids,Bilateral,Monitor right shoulder during external rotation,Face pull with added external rotation component  ,,
ExerciseLibrary,2,Farmer's Hold,,Hold,Hold,,,,EX-FH,Forearms,Traps; Core,Bilateral,,Static hold version of farmer's walk  ,,
ExerciseLibrary,2,Farmer's Walk,,Carry,Carry,,,,EX-FW,Forearms,Traps; Core; Shoulders,Bilateral,Well tolerated,Primary grip and carry exercise throughout all phases  ,,
ExerciseLibrary,2,Front-Foot-Elevated Split Squat,,Squat,Compound,,,,EX-FFESR,Quads,Glutes; Hamstrings; Core,Unilateral,Well tolerated,Front foot on plates for increased ROM  ,,
ExerciseLibrary,2,Glute Extension,,Isolation,Isolation,,,,EX-GE,Glutes,Hamstrings,Unilateral,Well tolerated,Machine glute extension  ,,
ExerciseLibrary,2,Goblet Squat,,Squat,Compound,,,,EX-GS,Quads,Glutes; Core; Hamstrings,Bilateral,Well tolerated,Dumbbell or kettlebell goblet squat  ,,
ExerciseLibrary,2,Half-Kneeling Single Arm Cable Row,,Pull,Compound,,,,EX-HKSAR,Back,Core; Biceps; Forearms,Unilateral,Well tolerated,Half-kneeling unilateral cable row  ,,
ExerciseLibrary,2,Half-Kneeling Single-Arm Cable Pulldown,,Pull,Compound,,,,EX-HKSACP,Lats,Biceps; Forearms,Unilateral,Well tolerated,Half-kneeling single arm cable pulldown  ,,
ExerciseLibrary,2,"Half-Kneeling Single-Arm Cable Row, Low-to-High Finish",,Pull,Compound,,,,EX-HKSARCR,Back,Rear Delts; Core; Biceps,Unilateral,Well tolerated,Low-to-high finish variant  ,,
ExerciseLibrary,2,Half-Kneeling Single-Arm DB Press,,Push,Compound,,,,EX-HKSADBP,Shoulders,Triceps; Core,Unilateral,Well tolerated,Half-kneeling single arm overhead press  ,,
ExerciseLibrary,2,Hammer Curls with Rope and Cable,,Isolation,Isolation,,,,EX-HCRC,Brachialis,Biceps; Forearms,Bilateral,Well tolerated,Rope attachment hammer curl on cable  ,,
ExerciseLibrary,2,Hanging Knee Raises,,Core,Core,,,,EX-HKR,Core,Hip Flexors; Forearms,Bilateral,Well tolerated,Hanging knee raise from pull-up bar  ,,
ExerciseLibrary,2,High Cable Tricep Pushdown,,Isolation,Isolation,,,,EX-HCTP,Triceps,Forearms,Bilateral,Shoulders roll forward if ROM too high; keep 90-100 degree ROM,High cable tricep pushdown with straight bar  ,,
ExerciseLibrary,2,Hip Hinge,,Mobility,Warmup,,,,EX-HH,Hamstrings,Glutes; Lower Back,Bilateral,Well tolerated,Bodyweight hip hinge pattern warmup  ,,
ExerciseLibrary,2,Incline DB Hammer Curl,,Isolation,Isolation,,,,EX-IDCH,Brachialis,Biceps; Forearms,Bilateral,Well tolerated,Incline bench hammer grip curl  ,,
ExerciseLibrary,2,Incline Dumbell Curl (Supinated),,Isolation,Isolation,,,,EX-IDC,Biceps,Forearms,Bilateral,Well tolerated,Incline bench supinated dumbbell curl  ,,
ExerciseLibrary,2,Incline Push-up,,Push,Compound,,,,EX-IPU,Chest,Triceps; Anterior Delts; Core,Bilateral,Well tolerated,Push-up with hands elevated on bar or bench  ,,
ExerciseLibrary,2,Inverted KB Hold,,Mobility,Rehab,,,,EX-IKBH,Shoulders,Forearms; Stabilizers,Bilateral,Well tolerated,Inverted kettlebell hold for shoulder stability  ,,
ExerciseLibrary,2,Inverted KB Press,,Push,Compound,,,,EX-IKBP,Chest,Triceps; Stabilizers,Bilateral,Well tolerated,Floor press with inverted kettlebell  ,,
ExerciseLibrary,2,Kneeling Cable Row,,Pull,Compound,,,,EX-KCR,Back,Biceps; Core; Forearms,Bilateral,Well tolerated,Kneeling position at seated cable row  ,,
ExerciseLibrary,2,Kneeling Single Arm Rope Cable Extension,,Isolation,Isolation,,,,EX-KSARCE,Triceps,None,Unilateral,Well tolerated,Kneeling single arm rope extension  ,,
ExerciseLibrary,2,Low-Incline DB Press (15-30°),,Push,Compound,,,,EX-LIDBP,Upper Chest,Triceps; Anterior Delts,Bilateral,Left trap compensation noted; monitor,Low incline dumbbell press  ,,
ExerciseLibrary,2,Machine Chest Press,,Push,Compound,,,,EX-MCP,Chest,Triceps; Anterior Delts,Bilateral,Right anterior capsule awareness on eccentric,Selectorized chest press machine  ,,
ExerciseLibrary,2,Machine Row,,Pull,Compound,,,,EX-MR,Back,Biceps; Forearms,Bilateral,Well tolerated,Chest-supported selectorized row  ,,
ExerciseLibrary,2,Neutral Grip Dumbbell Floor Press,,Push,Compound,,,,EX-NGDFP,Chest,Triceps; Anterior Delts,Bilateral,Right anterior capsule awareness during heavy sets; neutral grip well tolerated,Primary pressing movement from Phase 6 onward  ,,
